dimension,ori_mean,ori_std,mod_mean_Human_Plagiarism_(Base),mod_std_Human_Plagiarism_(Base),shift_mean_Human_Plagiarism_(Base),shift_std_Human_Plagiarism_(Base),mod_mean_Human_Plagiarism_+_DSP,mod_std_Human_Plagiarism_+_DSP,shift_mean_Human_Plagiarism_+_DSP,shift_std_Human_Plagiarism_+_DSP,mod_mean_Original_+_DSP,mod_std_Original_+_DSP,shift_mean_Original_+_DSP,shift_std_Original_+_DSP,mod_mean_AI_Generation_(Base),mod_std_AI_Generation_(Base),shift_mean_AI_Generation_(Base),shift_std_AI_Generation_(Base),mod_mean_AI_+_DSP,mod_std_AI_+_DSP,shift_mean_AI_+_DSP,shift_std_AI_+_DSP
536,-0.292519,1.390376,-0.368849,1.529918,-0.088879,1.514959,-0.330402,1.484993,-0.053181,1.459884,-0.330816,1.433495,-0.024460,0.664550,-0.457471,1.461281,-0.150787,1.986855,-0.299515,1.446710,0.007264,2.000206
537,-0.398507,1.244009,-0.549192,1.329965,-0.224026,1.351607,-0.660188,1.262461,-0.341453,1.397075,-0.551391,1.240281,-0.076969,0.624225,-0.413254,1.249788,0.057247,1.696819,-0.568501,1.227579,-0.095478,1.682078
538,-0.238104,1.472509,-0.306062,1.430252,-0.047031,1.400764,-0.284626,1.434690,-0.019025,1.399886,-0.191408,1.441486,0.023113,0.656214,-0.424682,1.301072,-0.214492,1.866980,-0.419788,1.339110,-0.207285,1.924885
539,-0.263883,1.525386,-0.459096,1.532436,-0.289039,1.767429,-0.417668,1.466287,-0.240421,1.829171,-0.329008,1.454400,0.018331,0.747680,0.440684,1.554650,0.787358,2.047265,0.459801,1.464466,0.806204,2.029772
540,0.008113,1.106797,0.000254,1.081225,0.052599,1.276315,0.019822,1.149498,0.076029,1.340481,0.069320,1.122337,0.001261,0.588282,-0.041518,1.084623,-0.110198,1.488163,-0.098551,1.066282,-0.167204,1.495178
541,-0.159646,1.081576,-0.164265,1.095098,0.004081,1.231090,-0.261074,1.069961,-0.090942,1.223428,-0.203582,1.076110,-0.053557,0.566137,0.116481,1.072059,0.265733,1.442971,-0.008716,1.084722,0.141247,1.473962
542,0.031789,1.284414,0.010036,1.166154,0.011077,1.245892,0.005092,1.231527,0.008864,1.293688,0.060437,1.279981,-0.002217,0.532490,-0.243785,1.231716,-0.309788,1.661157,-0.339893,1.260395,-0.405889,1.695515
543,-0.005635,1.430100,0.306752,1.305938,0.339693,1.202837,0.290397,1.287510,0.314765,1.262014,0.037142,1.371412,0.023945,0.652353,-0.233649,1.311969,-0.246191,1.870439,-0.189168,1.286454,-0.202276,1.865994
544,0.340119,1.295583,0.284795,1.317548,-0.037320,1.352869,0.205113,1.326698,-0.116146,1.402286,0.323730,1.310842,-0.034028,0.582902,0.149314,1.236971,-0.207489,1.761515,0.274226,1.241610,-0.083821,1.776879
545,0.085373,1.298618,0.082431,1.311992,-0.042900,1.231906,0.006544,1.271751,-0.122876,1.255951,-0.007259,1.287927,-0.052376,0.611008,0.086437,1.269994,0.044352,1.729363,0.189003,1.287240,0.144956,1.754012
