dimension,global_mean_delta,global_std_delta,global_median_delta,global_max_delta,cross_category_std,cross_category_mean,mean_delta_Human Plagiarism (Base),mean_delta_Human Plagiarism + DSP,mean_delta_Original + DSP,mean_delta_AI Generation (Base),mean_delta_AI + DSP,stability_rank
66,0.870728,0.694456,0.708726,4.954087,0.129443,0.847075,0.930721,0.916445,0.592761,0.864844,0.930606,308
418,0.870858,0.675686,0.722844,4.647352,0.122328,0.828183,0.912836,0.977403,0.617194,0.799291,0.834194,309
357,0.871462,0.698916,0.709452,4.850473,0.126748,0.838395,0.957460,0.970013,0.619821,0.805984,0.838697,310
337,0.872445,0.701349,0.709462,5.858272,0.106764,0.864364,0.928574,0.894181,0.652869,0.909849,0.936350,311
468,0.872671,0.706639,0.705138,5.627151,0.097091,0.851989,0.926189,0.940854,0.668880,0.861674,0.862347,312
314,0.872712,0.681787,0.725892,5.004498,0.153106,0.842788,0.997366,0.974606,0.568428,0.819591,0.853950,313
19,0.873268,0.696860,0.712445,5.189006,0.101345,0.860587,0.949940,0.920561,0.664329,0.875243,0.892860,314
438,0.873323,0.709354,0.715530,5.355858,0.129570,0.861549,0.999469,0.945476,0.621342,0.872715,0.868742,315
191,0.873618,0.708401,0.707143,5.059877,0.102171,0.854356,0.949932,0.935758,0.664499,0.848441,0.873148,316
101,0.874050,0.678739,0.728210,4.817032,0.122994,0.849668,0.971971,0.956139,0.628424,0.832373,0.859433,317
178,0.874743,0.679082,0.729732,5.031618,0.104403,0.852380,0.937758,0.939389,0.654885,0.852269,0.877597,318
158,0.874758,0.706370,0.706106,5.436777,0.106083,0.861025,0.906507,0.901201,0.650395,0.909156,0.937863,319
333,0.875032,0.691282,0.718568,5.305522,0.104131,0.850025,0.933575,0.956381,0.660491,0.849189,0.850488,320
36,0.875422,0.689169,0.719347,4.953518,0.125350,0.852862,0.986487,0.971162,0.638361,0.834952,0.833348,321
424,0.875525,0.704411,0.709506,4.969957,0.117737,0.845862,0.948731,0.963529,0.634862,0.828517,0.853671,322
24,0.875813,0.696542,0.717416,4.628546,0.098549,0.859067,0.869923,0.895360,0.668418,0.915289,0.946344,323
64,0.876064,0.681075,0.729079,4.644605,0.105552,0.858018,0.942432,0.935150,0.653981,0.872296,0.886232,324
109,0.876157,0.703761,0.713092,5.868713,0.097601,0.862968,0.889737,0.893772,0.671771,0.914277,0.945282,325
218,0.876169,0.673069,0.730942,4.800433,0.127818,0.856136,0.974528,0.952285,0.615297,0.863100,0.875470,326
448,0.877388,0.716121,0.701497,5.238929,0.108274,0.874440,0.913616,0.873756,0.668415,0.940874,0.975540,327
303,0.877416,0.697747,0.720080,4.945617,0.094354,0.858157,0.921258,0.926397,0.673442,0.871981,0.897708,328
497,0.877668,0.701296,0.714234,5.332809,0.097164,0.862311,0.863028,0.884023,0.680572,0.919458,0.964476,329
485,0.878257,0.680317,0.735594,5.154675,0.130120,0.854373,0.990852,0.959888,0.621609,0.831401,0.868114,330
57,0.879054,0.681754,0.730792,5.209553,0.113274,0.842532,0.918139,0.973871,0.640216,0.829118,0.851317,331
198,0.879245,0.673743,0.739565,4.541169,0.121877,0.855390,0.967879,0.956515,0.629599,0.848542,0.874417,332
373,0.879265,0.688843,0.727199,4.644442,0.125356,0.861344,0.944307,0.909270,0.615839,0.882942,0.954360,333
170,0.880919,0.680391,0.732541,4.911971,0.125028,0.855695,0.969574,0.959051,0.623528,0.847408,0.878913,334
452,0.881162,0.695555,0.721807,5.249321,0.113719,0.852160,0.933520,0.953038,0.636326,0.850047,0.887868,335
52,0.881471,0.678879,0.735347,5.004063,0.133783,0.856768,1.005018,0.977738,0.629127,0.826161,0.845795,336
309,0.882161,0.687499,0.734943,5.696245,0.097490,0.867195,0.877735,0.899915,0.678837,0.926816,0.952673,337
411,0.882451,0.696808,0.725484,5.571744,0.128079,0.861346,0.986267,0.960680,0.624114,0.858200,0.877467,338
75,0.883074,0.698950,0.721336,4.864716,0.126837,0.857265,0.958495,0.950668,0.613851,0.858999,0.904309,339
82,0.883168,0.682049,0.737143,5.119279,0.101266,0.868113,0.934601,0.933162,0.667530,0.901049,0.904224,340
416,0.883781,0.686495,0.737208,4.934717,0.132326,0.876929,1.031793,0.947772,0.635238,0.883153,0.886690,341
