dimension,dsp_type,r2_linear
894,tempo,0.022757
895,tempo,0.021338
896,tempo,0.020779
897,tempo,0.010980
898,tempo,0.014511
899,tempo,0.012798
900,tempo,0.020897
901,tempo,0.009361
902,tempo,0.016024
903,tempo,0.011262
904,tempo,0.017364
905,tempo,0.019570
906,tempo,0.032430
907,tempo,0.026213
908,tempo,0.012904
909,tempo,0.012384
910,tempo,0.014937
911,tempo,0.011107
912,tempo,0.016778
913,tempo,0.020177
914,tempo,0.019508
915,tempo,0.011988
916,tempo,0.015290
917,tempo,0.018648
918,tempo,0.011271
919,tempo,0.010390
920,tempo,0.012418
921,tempo,0.016286
922,tempo,0.012113
923,tempo,0.019567
924,tempo,0.013319
925,tempo,0.014937
926,tempo,0.014844
927,tempo,0.010876
928,tempo,0.014369
929,tempo,0.012713
930,tempo,0.030080
931,tempo,0.018363
932,tempo,0.021254
933,tempo,0.027271
934,tempo,0.016908
935,tempo,0.016260
936,tempo,0.040880
937,tempo,0.025424
938,tempo,0.013873
939,tempo,0.013867
940,tempo,0.017284
941,tempo,0.010672
942,tempo,0.007802
943,tempo,0.011669
944,tempo,0.009166
945,tempo,0.025779
946,tempo,0.018971
947,tempo,0.016535
948,tempo,0.006972
949,tempo,0.007636
950,tempo,0.009617
951,tempo,0.006739
952,tempo,0.014789
953,tempo,0.009999
954,tempo,0.017911
955,tempo,0.014097
956,tempo,0.010867
957,tempo,0.018035
958,tempo,0.014844
959,tempo,0.011859
960,tempo,0.027467
961,tempo,0.019923
962,tempo,0.020221
963,tempo,0.018505
964,tempo,0.017992
965,tempo,0.016399
966,tempo,0.008734
967,tempo,0.039337
968,tempo,0.012093
969,tempo,0.020641
970,tempo,0.033326
971,tempo,0.008439
972,tempo,0.014717
973,tempo,0.012685
974,tempo,0.013699
975,tempo,0.027159
976,tempo,0.017113
977,tempo,0.011159
978,tempo,0.019766
979,tempo,0.016269
980,tempo,0.012575
981,tempo,0.041056
982,tempo,0.014850
983,tempo,0.013296
984,tempo,0.019899
985,tempo,0.028811
986,tempo,0.006059
987,tempo,0.011838
988,tempo,0.016847
989,tempo,0.011954
