dimension,smp_mean_delta,ai_base_mean_delta,difference,cohens_d
745,1.028293,1.522394,0.494101,0.499077
883,1.002424,1.516306,0.513882,0.498808
57,1.275210,1.911535,0.636325,0.498458
400,1.650638,2.498181,0.847543,0.498292
837,1.032316,1.531018,0.498702,0.498235
202,1.012299,1.518916,0.506617,0.496923
498,1.133049,1.687968,0.554920,0.495350
699,0.977323,1.459819,0.482495,0.495034
362,1.226161,1.831084,0.604924,0.495022
233,0.943551,1.410917,0.467367,0.494915
788,0.824061,1.218775,0.394714,0.494544
253,1.064512,1.616472,0.551961,0.494211
776,0.954797,1.429622,0.474825,0.493776
472,1.099279,1.631801,0.532523,0.493659
815,1.040287,1.566213,0.525925,0.492969
854,0.948505,1.395245,0.446740,0.492563
894,1.026391,1.537006,0.510615,0.491788
1023,0.782314,1.151441,0.369126,0.491535
970,1.163199,1.719749,0.556550,0.490810
373,0.791231,1.189461,0.398230,0.490432
696,0.931160,1.413696,0.482536,0.489881
172,1.055764,1.554660,0.498895,0.489542
647,1.111724,1.649292,0.537568,0.489511
268,0.990555,1.495538,0.504982,0.488710
273,1.032131,1.521153,0.489022,0.488644
424,1.221716,1.809070,0.587354,0.488549
848,1.058132,1.560019,0.501887,0.488537
655,1.097560,1.637379,0.539818,0.488351
528,1.086663,1.604281,0.517618,0.488344
874,1.040526,1.549196,0.508670,0.488024
500,0.870404,1.297436,0.427033,0.487872
852,1.009923,1.499743,0.489820,0.487752
37,0.844953,1.256172,0.411220,0.487593
95,0.933538,1.400990,0.467452,0.486960
644,1.066176,1.576191,0.510015,0.486777
28,1.062088,1.557454,0.495365,0.486620
168,0.944295,1.405149,0.460854,0.484272
906,1.203967,1.792170,0.588203,0.484041
928,0.971026,1.419133,0.448107,0.483074
132,1.011190,1.499129,0.487939,0.482897
838,0.906546,1.339185,0.432639,0.482041
579,0.859787,1.256150,0.396363,0.481825
389,0.953697,1.406086,0.452389,0.481596
562,1.355496,1.983636,0.628140,0.481408
734,0.992730,1.435721,0.442991,0.481089
771,0.889071,1.305645,0.416574,0.480526
18,0.914820,1.359630,0.444809,0.480462
