dimension,smp_mean_delta,smp_std_delta,ai_base_mean_delta,ai_base_std_delta,difference_ai_minus_smp,abs_difference,cohens_d,discrimination_rank
44,0.870623,0.721396,0.805337,0.620310,-0.065286,0.065286,-0.097043,253
138,0.980605,0.757931,0.915840,0.742355,-0.064765,0.064765,-0.086332,254
468,0.926189,0.725434,0.861674,0.681532,-0.064515,0.064515,-0.091663,255
43,0.911363,0.716711,0.846890,0.640196,-0.064473,0.064473,-0.094879,256
151,0.796125,0.600127,0.860456,0.686404,0.064331,0.064331,0.099783,257
63,0.826551,0.655162,0.762642,0.608587,-0.063909,0.063909,-0.101074,258
92,0.824445,0.632635,0.760921,0.600926,-0.063523,0.063523,-0.102958,259
127,0.886149,0.678762,0.823632,0.638808,-0.062516,0.062516,-0.094853,260
277,0.833264,0.656575,0.895302,0.670093,0.062037,0.062037,0.093518,261
375,0.860336,0.672856,0.798357,0.643261,-0.061978,0.061978,-0.094159,262
120,0.919737,0.726463,0.981479,0.765385,0.061742,0.061742,0.082744,263
167,0.833395,0.617370,0.771713,0.611050,-0.061681,0.061681,-0.100422,264
146,0.860799,0.635778,0.799387,0.612259,-0.061412,0.061412,-0.098396,265
373,0.944307,0.721868,0.882942,0.664005,-0.061365,0.061365,-0.088481,266
72,0.874443,0.688369,0.813123,0.638267,-0.061320,0.061320,-0.092378,267
439,0.860065,0.675762,0.798780,0.646788,-0.061285,0.061285,-0.092656,268
306,0.817608,0.646422,0.878033,0.685567,0.060425,0.060425,0.090690,269
137,0.965311,0.746027,1.025551,0.805198,0.060241,0.060241,0.077612,270
269,0.859805,0.650916,0.799604,0.634612,-0.060201,0.060201,-0.093652,271
71,0.847432,0.686477,0.787310,0.630449,-0.060123,0.060123,-0.091225,272
148,0.799218,0.627034,0.739331,0.599696,-0.059887,0.059887,-0.097613,273
3,0.813028,0.605844,0.753166,0.594771,-0.059862,0.059862,-0.099715,274
423,0.800655,0.604615,0.741313,0.578666,-0.059342,0.059342,-0.100277,275
332,0.830236,0.628344,0.770978,0.597316,-0.059258,0.059258,-0.096664,276
461,0.878468,0.671318,0.819250,0.642355,-0.059218,0.059218,-0.090135,277
234,0.911119,0.680330,0.852011,0.647803,-0.059108,0.059108,-0.088982,278
315,0.883605,0.671906,0.825083,0.644745,-0.058521,0.058521,-0.088875,279
325,0.874764,0.637142,0.816596,0.616066,-0.058168,0.058168,-0.092817,280
264,0.955875,0.738481,1.013942,0.768089,0.058067,0.058067,0.077070,281
361,0.917339,0.695889,0.860024,0.674125,-0.057315,0.057315,-0.083660,282
491,0.870033,0.674309,0.812735,0.642638,-0.057298,0.057298,-0.086991,283
286,1.072595,0.755965,1.015339,0.811225,-0.057256,0.057256,-0.073023,284
169,0.885754,0.716985,0.828556,0.664135,-0.057198,0.057198,-0.082767,285
268,0.801958,0.635213,0.744857,0.568546,-0.057102,0.057102,-0.094727,286
40,0.822506,0.606919,0.879395,0.677935,0.056889,0.056889,0.088419,287
230,0.803206,0.640071,0.746503,0.586067,-0.056703,0.056703,-0.092401,288
497,0.863028,0.703726,0.919458,0.705264,0.056431,0.056431,0.080101,289
454,0.798579,0.624742,0.742275,0.581636,-0.056304,0.056304,-0.093285,290
349,0.925101,0.718278,0.981206,0.736921,0.056105,0.056105,0.077104,291
237,0.833240,0.657341,0.777419,0.604695,-0.055821,0.055821,-0.088385,292
196,0.898699,0.690660,0.843221,0.646115,-0.055478,0.055478,-0.082957,293
406,0.823476,0.636786,0.768032,0.596520,-0.055444,0.055444,-0.089863,294
150,0.907030,0.717220,0.852263,0.708555,-0.054767,0.054767,-0.076823,295
145,0.867711,0.661747,0.813720,0.641165,-0.053991,0.053991,-0.082867,296
229,0.872745,0.668322,0.818798,0.652952,-0.053947,0.053947,-0.081653,297
246,0.833487,0.682077,0.887230,0.665101,0.053743,0.053743,0.079780,298
377,0.829585,0.656556,0.775993,0.609439,-0.053592,0.053592,-0.084605,299
365,0.877223,0.690880,0.823934,0.672096,-0.053289,0.053289,-0.078188,300
352,0.835350,0.688574,0.782114,0.609529,-0.053236,0.053236,-0.081869,301
184,0.759901,0.585239,0.706666,0.555932,-0.053235,0.053235,-0.093268,302
0,0.811652,0.620421,0.758475,0.571540,-0.053177,0.053177,-0.089152,303
384,0.813920,0.646246,0.761362,0.594688,-0.052558,0.052558,-0.084635,304
435,0.828585,0.645761,0.776386,0.609980,-0.052200,0.052200,-0.083104,305
233,0.851787,0.702448,0.799722,0.623352,-0.052065,0.052065,-0.078402,306
419,0.908228,0.697619,0.857461,0.666574,-0.050767,0.050767,-0.074409,307
392,0.828220,0.659888,0.777503,0.613750,-0.050717,0.050717,-0.079589,308
321,0.871782,0.707479,0.821474,0.633807,-0.050308,0.050308,-0.074902,309
173,0.805081,0.627590,0.754991,0.583072,-0.050090,0.050090,-0.082692,310
289,0.862038,0.638957,0.811956,0.642668,-0.050081,0.050081,-0.078153,311
281,0.848554,0.650329,0.798853,0.630877,-0.049701,0.049701,-0.077576,312
179,1.033532,0.816049,0.983839,0.749997,-0.049693,0.049693,-0.063407,313
282,0.808203,0.651354,0.758582,0.587133,-0.049621,0.049621,-0.080023,314
303,0.921258,0.700071,0.871981,0.682103,-0.049277,0.049277,-0.071297,315
81,0.889140,0.684795,0.839874,0.654712,-0.049266,0.049266,-0.073540,316
2,0.991727,0.763073,0.942536,0.738874,-0.049192,0.049192,-0.065495,317
460,0.805892,0.648023,0.756759,0.612785,-0.049133,0.049133,-0.077908,318
309,0.877735,0.666606,0.926816,0.700286,0.049081,0.049081,0.071792,319
16,0.724185,0.584915,0.773165,0.593301,0.048980,0.048980,0.083141,320
135,0.883090,0.684497,0.834376,0.656917,-0.048714,0.048714,-0.072616,321
35,0.983001,0.792072,0.934543,0.738700,-0.048458,0.048458,-0.063273,322
108,0.964683,0.725863,0.916233,0.700481,-0.048450,0.048450,-0.067925,323
397,0.855264,0.651132,0.807072,0.635483,-0.048191,0.048191,-0.074906,324
5,0.797806,0.616410,0.749838,0.605095,-0.047968,0.047968,-0.078536,325
250,0.857002,0.706542,0.904968,0.699036,0.047966,0.047966,0.068250,326
389,0.813322,0.644758,0.765845,0.602543,-0.047477,0.047477,-0.076084,327
459,0.852308,0.669569,0.804972,0.645010,-0.047335,0.047335,-0.072004,328
355,1.023433,0.710139,0.976989,0.752275,-0.046444,0.046444,-0.063490,329
279,0.767884,0.628295,0.721668,0.586731,-0.046217,0.046217,-0.076031,330
49,0.740861,0.570358,0.694673,0.536090,-0.046188,0.046188,-0.083449,331
224,0.920183,0.745398,0.874163,0.675529,-0.046020,0.046020,-0.064696,332
341,0.717612,0.576268,0.762984,0.596279,0.045372,0.045372,0.077379,333
24,0.869923,0.684713,0.915289,0.704090,0.045366,0.045366,0.065325,334
30,0.804274,0.645849,0.848872,0.673568,0.044598,0.044598,0.067588,335
225,0.880554,0.669684,0.836523,0.658241,-0.044031,0.044031,-0.066313,336
350,0.871253,0.665068,0.915029,0.703868,0.043777,0.043777,0.063931,337
45,0.914286,0.726531,0.870632,0.693823,-0.043654,0.043654,-0.061453,338
58,0.962342,0.727824,1.005854,0.764993,0.043511,0.043511,0.058276,339
475,1.010166,0.763007,0.966865,0.707998,-0.043301,0.043301,-0.058831,340
374,0.793312,0.639620,0.750340,0.588102,-0.042972,0.042972,-0.069941,341
90,0.861674,0.633757,0.818862,0.636775,-0.042813,0.042813,-0.067393,342
67,0.854725,0.636462,0.812344,0.633235,-0.042381,0.042381,-0.066757,343
393,0.844178,0.632581,0.801918,0.607324,-0.042260,0.042260,-0.068152,344
338,0.821010,0.624337,0.862876,0.653165,0.041866,0.041866,0.065527,345
103,0.868231,0.673028,0.909321,0.688234,0.041090,0.041090,0.060366,346
380,0.877205,0.676647,0.836158,0.626935,-0.041047,0.041047,-0.062930,347
73,0.776011,0.618537,0.735083,0.575473,-0.040928,0.040928,-0.068510,348
161,0.812863,0.632861,0.772032,0.616844,-0.040831,0.040831,-0.065339,349
501,0.707679,0.577301,0.747628,0.579543,0.039949,0.039949,0.069066,350
462,0.930040,0.720253,0.890497,0.691899,-0.039543,0.039543,-0.055992,351
39,0.896477,0.653616,0.857452,0.641595,-0.039025,0.039025,-0.060257,352
399,0.911836,0.717944,0.873532,0.682744,-0.038303,0.038303,-0.054675,353
386,0.739216,0.595722,0.777325,0.618739,0.038109,0.038109,0.062747,354
451,0.843368,0.654618,0.805615,0.595569,-0.037753,0.037753,-0.060329,355
236,0.922231,0.722065,0.959783,0.714869,0.037552,0.037552,0.052266,356
247,0.826648,0.645019,0.863876,0.675973,0.037228,0.037228,0.056349,357
490,0.898759,0.681380,0.861627,0.660894,-0.037132,0.037132,-0.055321,358
190,0.968396,0.747543,0.931325,0.732664,-0.037071,0.037071,-0.050086,359
287,0.968610,0.740543,1.005153,0.753725,0.036543,0.036543,0.048909,360
226,0.886729,0.658304,0.922315,0.693445,0.035586,0.035586,0.052634,361
105,0.800748,0.658500,0.836271,0.660988,0.035523,0.035523,0.053844,362
149,0.819398,0.643066,0.783957,0.617969,-0.035441,0.035441,-0.056198,363
1,0.909826,0.706922,0.945143,0.719198,0.035317,0.035317,0.049527,364
331,0.698152,0.553748,0.663217,0.521224,-0.034935,0.034935,-0.064967,365
291,0.995211,0.762690,1.029932,0.784914,0.034721,0.034721,0.044866,366
488,0.810879,0.660230,0.776451,0.603363,-0.034428,0.034428,-0.054437,367
400,0.968396,0.702341,0.934004,0.727556,-0.034393,0.034393,-0.048098,368
256,0.712487,0.568832,0.678192,0.541899,-0.034295,0.034295,-0.061733,369
65,0.752861,0.592035,0.718809,0.578764,-0.034052,0.034052,-0.058164,370
29,0.906180,0.701119,0.872462,0.678254,-0.033718,0.033718,-0.048882,371
499,0.887755,0.704163,0.854197,0.649917,-0.033558,0.033558,-0.049526,372
82,0.934601,0.693965,0.901049,0.688847,-0.033552,0.033552,-0.048527,373
292,0.760887,0.566877,0.727582,0.561681,-0.033305,0.033305,-0.059021,374
163,0.791118,0.603348,0.824266,0.629557,0.033148,0.033148,0.053761,375
243,0.793033,0.632411,0.760027,0.601222,-0.033007,0.033007,-0.053495,376
69,0.805117,0.627262,0.772110,0.615853,-0.033007,0.033007,-0.053101,377
201,0.942975,0.774501,0.975695,0.779741,0.032720,0.032720,0.042104,378
330,0.760225,0.616800,0.727580,0.575970,-0.032646,0.032646,-0.054707,379
38,0.871867,0.669729,0.839336,0.650546,-0.032530,0.032530,-0.049273,380
274,0.900547,0.691229,0.868048,0.652604,-0.032499,0.032499,-0.048347,381
245,0.920288,0.712955,0.952581,0.730022,0.032293,0.032293,0.044756,382
356,0.869552,0.677245,0.837343,0.632463,-0.032209,0.032209,-0.049156,383
31,0.840705,0.667642,0.808728,0.613456,-0.031977,0.031977,-0.049876,384
272,0.942912,0.753813,0.911528,0.709162,-0.031384,0.031384,-0.042884,385
32,0.843094,0.643806,0.811844,0.626214,-0.031250,0.031250,-0.049208,386
