final_mod_type,negative_tier,cosine_distance,euclidean_distance,manhattan_distance,pearson_distance
Negative_smp_pitchU4,intra_category_nearest,0.8419,25.9842,468.6796,0.8417
Negative_smp_pitchU4,random,0.8509,26.4259,476.5547,0.8507
Negative_smp_pitchU4_tempo110,global_nearest,0.8397,25.9222,468.6614,0.8396
Negative_smp_pitchU4_tempo110,intra_category_nearest,0.8604,26.5809,480.0497,0.8602
Negative_smp_pitchU4_tempo110,random,0.8542,26.3692,477.2841,0.8539
Negative_smp_tempo090,global_nearest,0.8397,25.9222,468.6614,0.8396
Negative_smp_tempo090,intra_category_nearest,0.8556,26.6068,480.4873,0.8555
Negative_smp_tempo090,random,0.8586,26.866,485.4246,0.8584
Negative_smp_tempo095,global_nearest,0.8397,25.9222,468.6614,0.8396
Negative_smp_tempo095,intra_category_nearest,0.8578,26.5357,478.8616,0.8576
Negative_smp_tempo095,random,0.8636,27.0047,487.9012,0.8634
Negative_smp_tempo105,global_nearest,0.8397,25.9222,468.6614,0.8396
Negative_smp_tempo105,intra_category_nearest,0.853,26.4267,477.635,0.8528
Negative_smp_tempo105,random,0.8549,26.9208,485.9881,0.8548
Negative_smp_tempo110,global_nearest,0.8397,25.9222,468.6614,0.8396
Negative_smp_tempo110,intra_category_nearest,0.8585,26.6532,481.3219,0.8583
Negative_smp_tempo110,random,0.8561,26.829,484.8406,0.856
SMP_plag,N/A,0.8813,26.9172,485.8637,0.8812
SMP_plag_doubt,N/A,0.8051,26.612,480.8785,0.805
SMP_remake,N/A,0.7908,25.3852,458.8079,0.7906
audioldm2_none,N/A,0.8113,25.0634,452.7693,0.8112
audioldm2_pitchD2,N/A,0.8217,25.0473,452.4285,0.8216
audioldm2_pitchD4,N/A,0.8271,25.0405,452.5089,0.827
audioldm2_pitchD4_tempo090,N/A,0.8458,25.4422,459.8655,0.8456
audioldm2_pitchU2,N/A,0.8151,24.9168,450.1998,0.8149
audioldm2_pitchU4,N/A,0.8102,24.7136,446.576,0.81
audioldm2_pitchU4_tempo110,N/A,0.8374,25.0581,452.6547,0.8372
audioldm2_tempo090,N/A,0.8383,25.7944,466.0444,0.8382
audioldm2_tempo095,N/A,0.8377,25.7167,464.9996,0.8375
audioldm2_tempo105,N/A,0.8369,25.6024,462.7076,0.8368
audioldm2_tempo110,N/A,0.8306,25.3337,457.5736,0.8304
mgeldm_bass_none,N/A,0.5614,20.8341,376.5582,0.5613
mgeldm_bass_pitchD2,N/A,0.6893,23.2272,419.5836,0.6892
mgeldm_bass_pitchD4,N/A,0.7287,23.9544,432.8342,0.7286
mgeldm_bass_pitchD4_tempo090,N/A,0.7923,25.1497,454.0736,0.7922
mgeldm_bass_pitchU2,N/A,0.6386,22.2629,402.2887,0.6385
mgeldm_bass_pitchU4,N/A,0.6613,22.619,408.6014,0.6612
mgeldm_bass_pitchU4_tempo110,N/A,0.7302,23.7872,429.4801,0.7301
mgeldm_bass_tempo090,N/A,0.6381,22.4531,405.5684,0.638
mgeldm_bass_tempo095,N/A,0.6349,22.2993,402.9344,0.6348
mgeldm_bass_tempo105,N/A,0.6403,22.4351,405.6677,0.6402
mgeldm_bass_tempo110,N/A,0.648,22.5596,407.7263,0.6479
mgeldm_drums_none,N/A,0.5785,21.1071,381.4419,0.5783
mgeldm_drums_pitchD2,N/A,0.7432,23.9596,433.0098,0.7431
mgeldm_drums_pitchD4,N/A,0.7827,24.7825,447.776,0.7826
mgeldm_drums_pitchD4_tempo090,N/A,0.8258,25.4458,459.6812,0.8257
mgeldm_drums_pitchU2,N/A,0.6885,23.284,420.7314,0.6884
mgeldm_drums_pitchU4,N/A,0.7007,23.3219,421.3225,0.7006
mgeldm_drums_pitchU4_tempo110,N/A,0.7512,24.031,434.363,0.7511
mgeldm_drums_tempo090,N/A,0.6851,23.227,419.7806,0.685
mgeldm_drums_tempo095,N/A,0.6967,23.4311,423.4049,0.6965
mgeldm_drums_tempo105,N/A,0.6913,23.2939,421.1777,0.6912
mgeldm_drums_tempo110,N/A,0.6932,23.3184,421.4552,0.6931
mgeldm_none,N/A,0.5919,23.4141,421.2451,0.5906
mgeldm_other_none,N/A,0.6043,21.6326,390.8024,0.6042
mgeldm_other_pitchD2,N/A,0.7642,24.2698,438.651,0.7641
mgeldm_other_pitchD4,N/A,0.8015,25.0104,451.8172,0.8013
mgeldm_other_pitchD4_tempo090,N/A,0.8514,25.7972,466.0854,0.8513
mgeldm_other_pitchU2,N/A,0.7323,23.8402,430.3388,0.7321
